forecastTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,totalPrecipitation,conditionCode
2024-05-21 14:00:00,17.2,17.2,3,12,31,100,1017,83,6.7,heavy-rain-with-thunderstorms
2024-05-21 15:00:00,17.2,17.2,2,6,315,100,1017,85,0.3,light-rain
2024-05-21 16:00:00,17.7,17.7,2,6,64,99,1017,86,0.0,cloudy
2024-05-21 17:00:00,18.1,18.1,2,5,44,6,1016,79,0.0,clear
2024-05-21 18:00:00,17.4,17.4,2,5,57,15,1016,85,0.0,clear
2024-05-21 19:00:00,16.3,16.3,3,6,64,99,1016,90,0.0,cloudy
2024-05-21 20:00:00,15.4,15.4,4,7,64,94,1017,89,0.0,cloudy
2024-05-21 21:00:00,15.3,15.3,4,7,85,6,1017,91,0.0,clear
2024-05-21 22:00:00,15.3,15.3,4,9,109,100,1017,94,0.4,thunderstorms
2024-05-21 23:00:00,15.1,15.1,3,7,98,100,1017,94,2.6,heavy-rain
2024-05-22 00:00:00,15.1,15.1,3,6,87,100,1017,95,0.5,rain
2024-05-22 01:00:00,14.9,14.9,3,5,76,100,1017,96,0.0,cloudy
2024-05-22 02:00:00,15.1,15.1,3,5,79,91,1017,94,0.0,cloudy
2024-05-22 03:00:00,15.2,15.2,3,6,84,100,1017,94,0.0,cloudy
2024-05-22 04:00:00,15.2,15.2,3,6,74,92,1017,95,0.2,light-rain
2024-05-22 05:00:00,16.5,16.5,4,7,87,98,1017,90,0.0,cloudy
2024-05-22 06:00:00,17.9,17.9,4,8,84,0,1017,86,0.0,clear
2024-05-22 07:00:00,19.5,19.5,5,10,89,0,1017,77,0.0,clear
2024-05-22 08:00:00,21.3,21.3,5,10,91,4,1017,67,0.0,clear
2024-05-22 09:00:00,22.7,22.7,5,11,95,0,1017,55,0.0,clear
2024-05-22 10:00:00,23.6,23.3,5,11,105,52,1017,51,0.0,cloudy-with-sunny-intervals
2024-05-22 11:00:00,23.7,23.4,5,11,114,76,1017,49,0.0,cloudy
2024-05-22 12:00:00,21.7,21.7,3,12,97,78,1017,66,0.2,light-rain
2024-05-22 13:00:00,23.9,23.6,4,9,116,0,1016,49,0.0,clear
2024-05-22 14:00:00,23.1,22.6,4,10,108,97,1016,45,0.0,cloudy
2024-05-22 15:00:00,23.2,23.0,4,9,105,0,1016,53,0.0,clear
2024-05-22 16:00:00,23.1,22.9,4,8,95,0,1016,56,0.0,clear
2024-05-22 17:00:00,22.1,22.1,4,8,84,0,1016,59,0.0,clear
2024-05-22 18:00:00,20.6,20.6,4,8,78,0,1017,66,0.0,clear
2024-05-22 19:00:00,18.8,18.8,4,8,80,0,1017,71,0.0,clear
2024-05-22 20:00:00,17.2,17.2,4,8,87,0,1018,75,0.0,clear
2024-05-22 21:00:00,16.5,16.5,4,8,96,2,1018,81,0.0,clear
2024-05-22 22:00:00,16.2,16.2,4,8,103,0,1018,84,0.0,clear
2024-05-22 23:00:00,16.0,16.0,4,9,105,0,1018,86,0.0,clear
2024-05-23 00:00:00,15.7,15.7,4,8,104,0,1018,86,0.0,clear
2024-05-23 01:00:00,15.3,15.3,4,8,100,0,1018,87,0.0,clear
2024-05-23 02:00:00,15.0,15.0,4,8,98,0,1019,87,0.0,clear
2024-05-23 03:00:00,15.3,15.3,5,9,103,0,1019,84,0.0,clear
2024-05-23 04:00:00,16.3,16.3,5,9,105,0,1019,79,0.0,clear
2024-05-23 05:00:00,17.8,17.8,5,10,107,0,1020,74,0.0,clear
2024-05-23 06:00:00,19.6,19.6,4,9,106,0,1020,68,0.0,clear
2024-05-23 07:00:00,21.4,21.4,4,9,103,0,1020,62,0.0,clear
2024-05-23 08:00:00,22.7,22.7,4,9,97,0,1020,57,0.0,clear
2024-05-23 09:00:00,23.8,23.6,4,10,102,0,1020,53,0.0,clear
2024-05-23 10:00:00,24.7,24.5,5,10,102,0,1020,48,0.0,clear
2024-05-23 11:00:00,25.2,24.9,5,11,105,0,1020,43,0.0,clear
2024-05-23 12:00:00,25.5,25.1,5,11,109,0,1020,39,0.0,clear
2024-05-23 13:00:00,25.6,25.2,5,11,107,0,1020,36,0.0,clear
2024-05-23 14:00:00,23.6,23.3,6,14,131,32,1020,48,0.0,partly-cloudy
2024-05-23 15:00:00,20.3,20.3,6,14,96,99,1020,69,0.0,cloudy
2024-05-23 16:00:00,20.1,20.1,6,12,91,4,1020,61,0.0,clear
2024-05-23 17:00:00,20.0,20.0,5,12,119,4,1021,67,0.0,clear
2024-05-23 18:00:00,19.4,19.4,4,9,121,0,1021,68,0.0,clear
2024-05-23 21:00:00,16.3,16.3,5,9,118,9,1022,85,0.0,clear
2024-05-24 00:00:00,15.6,15.6,5,9,118,0,1023,86,0.0,clear
2024-05-24 03:00:00,14.6,14.6,5,8,120,0,1024,83,0.0,clear
2024-05-24 06:00:00,17.8,17.8,5,10,124,24,1024,71,0.0,clear
2024-05-24 09:00:00,22.0,22.0,5,11,127,46,1024,58,0.0,partly-cloudy
2024-05-24 12:00:00,23.9,23.6,6,11,133,13,1024,48,0.0,clear
2024-05-24 15:00:00,22.8,22.8,5,11,135,27,1023,50,0.2,light-rain
2024-05-24 18:00:00,19.8,19.8,4,8,133,8,1024,66,0.0,clear
2024-05-24 21:00:00,17.4,17.4,4,8,136,1,1025,74,0.0,clear
2024-05-25 00:00:00,15.5,15.5,4,7,126,0,1025,78,0.0,clear
2024-05-25 03:00:00,14.9,14.9,4,8,136,0,1025,77,0.0,clear
2024-05-25 06:00:00,18.7,18.7,4,9,144,0,1025,64,0.0,clear
2024-05-25 09:00:00,22.9,22.9,5,10,146,12,1025,49,0.0,clear
2024-05-25 12:00:00,24.1,23.6,5,11,150,52,1024,39,0.0,cloudy-with-sunny-intervals
2024-05-25 15:00:00,22.0,22.0,4,11,164,97,1023,51,0.3,light-rain
2024-05-25 18:00:00,19.7,19.7,3,8,146,100,1023,59,0.0,cloudy
2024-05-25 21:00:00,16.8,16.8,4,7,129,93,1024,68,0.0,cloudy
2024-05-26 00:00:00,15.4,15.4,4,7,131,94,1024,61,0.0,cloudy
2024-05-26 03:00:00,14.5,14.5,3,7,137,52,1024,61,0.0,cloudy-with-sunny-intervals
2024-05-26 06:00:00,18.9,18.9,3,7,143,63,1024,52,0.0,cloudy-with-sunny-intervals
2024-05-26 09:00:00,23.4,23.4,5,10,151,60,1024,24,0.0,cloudy-with-sunny-intervals
2024-05-26 12:00:00,24.7,24.7,4,10,139,9,1024,26,0.0,clear
2024-05-26 15:00:00,24.1,24.1,3,8,145,6,1022,26,0.0,clear
2024-05-26 18:00:00,19.5,19.5,2,6,133,9,1023,55,0.0,clear
2024-05-26 21:00:00,16.8,16.8,3,6,141,3,1023,56,0.0,clear
2024-05-27 00:00:00,15.3,15.3,3,6,151,23,1023,62,0.0,clear
2024-05-27 06:00:00,19.4,19.4,3,6,171,19,1022,56,0.0,clear
2024-05-27 12:00:00,25.1,25.1,3,8,171,19,1020,11,0.0,clear
2024-05-27 18:00:00,20.3,20.3,3,7,152,2,1018,49,0.0,clear
2024-05-28 00:00:00,15.0,15.0,3,6,151,60,1018,65,0.0,cloudy-with-sunny-intervals
2024-05-28 06:00:00,20.6,20.6,2,5,144,97,1018,55,0.0,cloudy
2024-05-28 12:00:00,25.1,25.1,2,6,134,96,1016,11,0.0,cloudy
